epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.28747,1.25379,3.11373,1.21003,2e-05,0.00126,1e-05,0,1.77792,4.12523,2.35846,0.0847,0.0017,0.0017
2,15.1173,1.06285,0.93671,1.05765,3e-05,0.00754,1e-05,0,nan,nan,nan,0.0684931,0.00349307,0.00349307
3,19.465,0.97792,0.76642,1.02358,0,0,0,0,nan,nan,nan,0.052279,0.00527901,0.00527901
4,23.8212,0.96651,0.70454,1.02645,0,0,0,0,nan,nan,nan,0.0360578,0.00705783,0.00705783
5,28.1946,1.00431,0.70136,1.04829,0,0,0,0,nan,nan,nan,0.0198295,0.00882951,0.00882951
6,33.8429,0.98351,0.68137,1.02925,0.00501,0.09799,0.002,0.0005,nan,nan,nan,0.009901,0.009901,0.009901
7,39.3382,0.96795,0.64275,1.03555,0.00284,0.22362,0.00174,0.00061,3.12975,inf,2.18447,0.0098812,0.0098812,0.0098812
8,44.3783,0.96398,0.64277,1.02299,7e-05,0.01131,3e-05,1e-05,4.67564,88.6759,3.30812,0.0098614,0.0098614,0.0098614
9,49.814,0.93522,0.60945,1.00828,0.36783,0.33668,0.24567,0.14236,2.1541,45.3998,1.8885,0.0098416,0.0098416,0.0098416
10,54.6972,0.92412,0.57585,1.00972,0.85054,0.67201,0.7877,0.5445,1.37873,1.47765,1.33598,0.0098218,0.0098218,0.0098218
11,59.5908,0.89802,0.55835,0.99811,0.67288,0.62537,0.64754,0.43614,1.44683,1.99802,1.34642,0.009802,0.009802,0.009802
12,64.6215,0.88091,0.53331,0.98911,0.91223,0.89573,0.95557,0.6828,1.04488,2.89845,1.10095,0.0097822,0.0097822,0.0097822
13,69.7785,0.87503,0.5416,0.99597,0.01395,0.1407,0.0074,0.0023,3.27895,4.84953,3.20928,0.0097624,0.0097624,0.0097624
14,74.3686,0.86213,0.52362,0.98239,0.01944,0.03141,0.01587,0.00878,2.63114,6.08586,2.33114,0.0097426,0.0097426,0.0097426
15,79.2004,0.86295,0.52307,0.98414,0.19659,0.07412,0.05595,0.03662,2.05679,5.08808,1.71221,0.0097228,0.0097228,0.0097228
16,84.0357,0.85702,0.51824,0.98299,0.97997,0.92183,0.96468,0.73462,0.94731,0.82929,1.05231,0.009703,0.009703,0.009703
17,88.9114,0.84867,0.51089,0.98715,0.95517,0.81407,0.89171,0.65634,1.03778,1.13513,1.12917,0.0096832,0.0096832,0.0096832
18,93.7906,0.86504,0.50008,0.99242,0.81268,0.76304,0.8437,0.6423,0.94754,1.79323,1.02348,0.0096634,0.0096634,0.0096634
19,99.0154,0.84236,0.49525,0.97452,0.97777,0.93935,0.97561,0.7649,0.84854,0.61507,0.98287,0.0096436,0.0096436,0.0096436
20,103.949,0.82952,0.47458,0.9714,0.9778,0.90829,0.94435,0.70833,0.9753,0.6824,1.03921,0.0096238,0.0096238,0.0096238
21,108.83,0.81822,0.46429,0.97203,0.98326,0.95921,0.97901,0.77464,0.86473,0.52271,1.01803,0.009604,0.009604,0.009604
22,113.72,0.83648,0.47502,0.96679,0.98019,0.91583,0.9702,0.77417,0.84594,0.52778,0.98976,0.0095842,0.0095842,0.0095842
23,118.635,0.79656,0.4542,0.95508,0.96365,0.95101,0.98219,0.77557,0.88,1.43248,0.99581,0.0095644,0.0095644,0.0095644
24,123.536,0.83009,0.4735,0.96789,0.99099,0.9667,0.98558,0.79789,0.82374,0.465,0.97362,0.0095446,0.0095446,0.0095446
25,128.656,0.80658,0.46054,0.97212,0.98688,0.98367,0.99347,0.76838,0.8666,0.55066,1.00955,0.0095248,0.0095248,0.0095248
26,133.538,0.81265,0.46179,0.9685,0.98199,0.96357,0.98066,0.72986,0.92609,0.57703,1.0335,0.009505,0.009505,0.009505
27,138.388,0.81633,0.46376,0.9703,0.98412,0.94347,0.9724,0.72453,1.02928,0.65255,1.06919,0.0094852,0.0094852,0.0094852
28,143.282,0.83043,0.46964,0.97669,0.98064,0.80402,0.84603,0.66937,0.93032,0.82344,1.03307,0.0094654,0.0094654,0.0094654
29,148.134,0.79975,0.4454,0.96602,0.98367,0.86181,0.94211,0.7173,1.079,0.70146,1.10169,0.0094456,0.0094456,0.0094456
30,153.284,0.82234,0.44512,0.97048,0.97482,0.96734,0.97735,0.74424,0.95617,0.54586,1.06805,0.0094258,0.0094258,0.0094258
31,158.159,0.80751,0.45127,0.97222,0.97686,0.97236,0.9914,0.79817,0.8243,0.47055,0.99232,0.009406,0.009406,0.009406
32,163.03,0.79897,0.44221,0.95433,0.98835,0.95894,0.98243,0.77329,0.86703,0.49211,1.00248,0.0093862,0.0093862,0.0093862
33,167.954,0.80326,0.44474,0.96877,0.98599,0.98744,0.9906,0.77702,0.85049,1.41162,1.00109,0.0093664,0.0093664,0.0093664
34,172.807,0.80344,0.44125,0.96681,0.99237,0.97236,0.98859,0.76456,0.93187,0.47252,1.01691,0.0093466,0.0093466,0.0093466
35,177.658,0.794,0.43532,0.96614,0.98516,0.83416,0.90203,0.7131,0.92755,0.61129,1.05993,0.0093268,0.0093268,0.0093268
36,182.79,0.80056,0.44354,0.96705,0.99,0.97864,0.99296,0.79273,0.78047,0.47302,0.95378,0.009307,0.009307,0.009307
37,187.649,0.78208,0.42256,0.96049,0.99447,0.9598,0.98515,0.77399,0.88786,0.47071,0.99854,0.0092872,0.0092872,0.0092872
38,192.481,0.79958,0.42595,0.95351,0.98863,0.98275,0.98907,0.79161,0.85579,0.42227,0.9897,0.0092674,0.0092674,0.0092674
39,197.343,0.79224,0.41781,0.96498,0.98945,0.9426,0.97785,0.79191,0.78945,0.43406,0.98633,0.0092476,0.0092476,0.0092476
40,202.198,0.78725,0.43197,0.95979,0.96762,0.96482,0.98253,0.74199,0.91285,0.4968,0.99633,0.0092278,0.0092278,0.0092278
41,207.09,0.78013,0.43382,0.96039,0.98697,0.96482,0.97507,0.77624,0.88289,0.55623,1.0121,0.009208,0.009208,0.009208
42,212.216,0.78774,0.43474,0.96327,0.99481,0.96343,0.98826,0.8091,0.76343,0.44202,0.9636,0.0091882,0.0091882,0.0091882
43,217.076,0.80851,0.43883,0.96869,0.99173,0.90412,0.96601,0.79466,0.81509,0.55964,0.9781,0.0091684,0.0091684,0.0091684
44,221.935,0.76535,0.41405,0.95711,0.99493,0.98869,0.99438,0.81048,0.77441,0.39409,0.96419,0.0091486,0.0091486,0.0091486
45,226.822,0.77653,0.41464,0.96401,0.98869,0.98856,0.9942,0.81106,0.80908,0.4108,0.97827,0.0091288,0.0091288,0.0091288
46,231.656,0.78463,0.41733,0.96539,0.99369,0.98956,0.9944,0.81048,0.83168,0.39781,0.97815,0.009109,0.009109,0.009109
47,236.513,0.75819,0.40876,0.95766,0.98805,0.98367,0.99068,0.80691,0.78275,0.39686,0.96674,0.0090892,0.0090892,0.0090892
48,241.573,0.76492,0.41537,0.95942,0.98611,0.98126,0.99234,0.79178,0.84647,0.44786,0.99539,0.0090694,0.0090694,0.0090694
49,246.449,0.77944,0.41809,0.95811,0.98856,0.98116,0.99016,0.7989,0.7946,0.43613,0.97614,0.0090496,0.0090496,0.0090496
50,251.305,0.77284,0.40869,0.95332,0.99358,0.98241,0.99364,0.80095,0.81017,0.40858,0.98884,0.0090298,0.0090298,0.0090298
