epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.19732,1.56602,5.06668,1.92336,0.37771,0.64824,0.36463,0.27353,0.961,2.31655,2.13235,0.0847,0.0017,0.0017
2,15.1162,0.78608,0.80249,1.38668,0.09187,0.08291,0.03221,0.01052,2.98628,4.42106,3.04326,0.0684931,0.00349307,0.00349307
3,21.0883,0.69781,0.56722,1.36567,0.00291,0.22487,0.00178,0.00041,nan,nan,nan,0.052279,0.00527901,0.00527901
4,27.052,0.71398,0.54723,1.3684,0,0,0,0,nan,nan,nan,0.0360578,0.00705783,0.00705783
5,33.0198,0.70448,0.53351,1.37459,0.01922,0.06281,0.01228,0.00726,2.76224,12.3518,3.6504,0.0198295,0.00882951,0.00882951
6,38.9979,0.71381,0.52713,1.38078,0.28326,0.79271,0.3902,0.23053,1.3769,16.6043,2.4906,0.009901,0.009901,0.009901
7,44.9032,0.6966,0.51274,1.34635,0.82914,0.82286,0.89565,0.68559,0.87308,1.26372,2.49837,0.0098812,0.0098812,0.0098812
8,50.8555,0.69846,0.50978,1.34481,0.8421,0.91457,0.95421,0.76838,0.77398,0.96311,5.46749,0.0098614,0.0098614,0.0098614
9,56.8192,0.70925,0.51155,1.36166,0.64122,0.43593,0.50888,0.40542,0.83718,1.87699,3.14111,0.0098416,0.0098416,0.0098416
10,62.7894,0.65861,0.48597,1.33749,0.70208,0.92368,0.887,0.73704,0.69131,3.42862,2.92645,0.0098218,0.0098218,0.0098218
11,68.7516,0.65119,0.47192,1.32784,0.86018,0.93467,0.92632,0.78053,0.61712,1.14577,2.37027,0.009802,0.009802,0.009802
12,74.7174,0.63185,0.44753,1.31622,0.95639,0.93669,0.97189,0.83519,0.62108,0.55357,2.57994,0.0097822,0.0097822,0.0097822
13,80.6889,0.62541,0.44632,1.30621,0.99078,0.98618,0.99378,0.85176,0.6089,0.47913,3.53374,0.0097624,0.0097624,0.0097624
14,86.6501,0.65375,0.46587,1.31516,0.92291,0.95477,0.97795,0.83345,0.64245,0.72783,2.48241,0.0097426,0.0097426,0.0097426
15,92.5924,0.62876,0.45102,1.30042,0.95858,0.96608,0.98303,0.81236,0.6207,1.0516,2.21843,0.0097228,0.0097228,0.0097228
16,98.5369,0.62602,0.43485,1.27589,0.95059,0.96608,0.98606,0.84353,0.58355,0.61872,2.15043,0.009703,0.009703,0.009703
17,104.469,0.61317,0.44088,1.27795,0.97046,0.96734,0.98548,0.85224,0.63998,0.48549,2.56381,0.0096832,0.0096832,0.0096832
18,110.395,0.62735,0.43633,1.29679,0.98775,0.95101,0.979,0.8522,0.61047,0.47969,2.93241,0.0096634,0.0096634,0.0096634
19,116.317,0.6152,0.44049,1.28136,0.99046,0.94975,0.97924,0.8797,0.55445,0.47915,2.325,0.0096436,0.0096436,0.0096436
20,122.328,0.60393,0.43317,1.26546,0.9595,0.96482,0.98072,0.85013,0.56279,0.63624,1.75144,0.0096238,0.0096238,0.0096238
21,128.319,0.60063,0.42209,1.26462,0.96528,0.94095,0.97232,0.84605,0.59234,0.61732,2.15031,0.009604,0.009604,0.009604
22,134.302,0.6442,0.44132,1.31611,0.96809,0.98116,0.98755,0.85347,0.56612,0.50111,2.29789,0.0095842,0.0095842,0.0095842
23,140.265,0.60623,0.42309,1.23988,0.9676,0.97544,0.99054,0.86461,0.58913,0.49214,1.83747,0.0095644,0.0095644,0.0095644
24,146.191,0.60724,0.41425,1.27447,0.96998,0.97407,0.99257,0.8802,0.53052,0.36967,4.07963,0.0095446,0.0095446,0.0095446
